Key,Spanish
"This entity has no document, you probably want to see the metadata","Esta entidad no tiene ningún documento, es probable que quieras ver los metadatos."
This entity is restricted from public view.,Esta entidad está restringida de la vista pública.
This field is required,Este campo es obligatorio
This file could not be displayed. Try refreshing the page.,No se ha podido mostrar este archivo. Intenta actualizar la página.
This file could not be opened. It may be corrupted or not a valid PDF.,No se ha podido abrir este archivo. Es posible que esté dañado o que no sea un PDF válido.
"This file is currently unavailable. Please contact your administrator if the issue
                  persists.","Este archivo no está disponible en este momento. Ponte en contacto con tu administrador si el problema
persiste."
"This file is currently unavailable. Please contact your administrator if the issue
              persists.","Este archivo no está disponible en este momento. Ponte en contacto con tu administrador si el problema
persiste."
This file type is not supported on media fields,Este tipo de archivo no es compatible con los campos multimedia.
This group is empty,Este grupo está vacío
This import is waiting in queue.,Esta importación está en cola.
This label already exists in this template,Esta etiqueta ya existe en esta plantilla
This page does not need Markdown,Esta página no necesita Markdown
"This page uses HTML only (Markdown is not processed). You can embed maps, charts, entity
          lists, and other components.","Esta página utiliza únicamente HTML (no se procesa Markdown). Puedes insertar mapas, gráficos,
listas de entidades y otros componentes."
This property can not be deleted,Esta propiedad no se puede eliminar
This property will appear in the library cards as part of the basic info.,Esta propiedad aparecerá en las tarjetas de la biblioteca como parte de la información básica.
This property will be shown using all the width available.,Esta propiedad se mostrará utilizando todo el espacio disponible.
This property will be shown without the label,Esta propiedad se mostrará sin la etiqueta
This property will be the default filter in the library for this template.,Esta propiedad será el filtro predeterminado en la biblioteca para esta plantilla.
"This property will be used for filtering the library results. When properties match in equal name and field type with other entity types, they will be combined for filtering.","Esta propiedad se utilizará para filtrar los resultados de la biblioteca. Cuando las propiedades coincidan en nombre y tipo de campo con las de otros tipos de entidad, se combinarán para el filtrado."
This search could not be completed. Try again later.,Esta búsqueda no pudo completarse. Intenta nuevamente más tarde.
"This site uses cookies for language preferences and analytics. Session cookies are only
            set when you log in.","Esta página web utiliza cookies para las preferencias de idioma y con fines analíticos. Las cookies de sesión solo
se activan cuando inicias sesión."
This table of contents was automatically created by the system.,Este índice ha sido generado automáticamente por el sistema.
this template,esta plantilla
This template is in use by existing entities and cannot be deleted.,Esta plantilla está en uso por parte de entidades existentes y no se puede eliminar.
Thumbnail,Miniatura
Time,Tiempo
Time (UTC),Hora (UTC)
Timeline,Cronología
Timelinks,Líneas de tiempo
Timestamp,Marca de tiempo
tips,consejos
Title,Título
To,A
"To complete the account creation process, please create a password for your account","Para completar este proceso de creación de cuenta, por favor crea una contraseña."
to view your authentication code and verify your identity.,para ver el código de autenticación y verificar tu identidad.
Today,Hoy
Toggle relationship details,Mostrar detalles de la relación
Toggle timeline mode,Activar/desactivar el modo de línea de tiempo
Tools,Herramientas
total entities,total de entidades
Total files,Total de archivos
total files,total de archivos
"Total files from main documents, supporting files and uploads","Total de archivos entre documentos principales, archivos complementarios y archivos subidos"
Total imports,Importaciones totales
total users,total de usuarios
Train,Entrenar
Train model,Entrenar modelo
Train model description,"Entrenar modelos de aprendizaje automático puede tardar desde minutos hasta un par de horas, según la cantidad de datos etiquetados y la dificultad de la tarea."
Training,Entrenando
Training model,Entrenando modelo
Training sample,Muestra de formación
Translate,Traducir
Translation,Traducción
Translations,Traducciones
Translations imported.,Traducciones importadas.
Translations reset successfully,Traducciones reseteadas exitosamente
Translations saved,Traducciones guardadas
Try a different search or clear filters.,Prueba a realizar otra búsqueda o borra los filtros.
Turn off inline translation,Desactivar la traducción en línea
"Two categorical dimensions enable stacked bar charts (e.g. country with sex
              breakdown).","Dos dimensiones categóricas permiten crear gráficos de barras apiladas (por ejemplo, por país y
desglose por sexo)."
Two-Factor Authentication,Autenticación de dos factores
Two-factor authentication enabled,Doble factor de autenticación habilitado
Two-factor authentication failed.,Doble factor de autenticación fallido.
Two-factor authentication secret,Secreto doble factor autenticación
Two-factor verification failed,Fallo en la verificación del doble factor de autenticación
Two-step verification,Verificación de dos pasos.
Two-step verification token required,El token de verificación es obligatorio
Type,Tipo
U,U
"Unable to save, failed response","No se pudo guardar, respuesta fallida"
Unauthorized,No autorizado
Unexpected error,Error inesperado
Uninstall,Desinstalar
Uninstall language,Desinstalar idioma
Uninstalling language,Desinstalando un idioma
Unknown entity,Entidad desconocida
Unknown template,Plantilla desconocida
Unlink,Desenlazar
Unlock account,Desbloquear cuenta
Unsaved changes,Cambios sin guardar
Unsupported OCR language,Idioma no soportado para ROC
Untitled,Sin título
Untranslated Terms,Términos sin traducir
Update,Actualizar
UPDATE,Actualizar
Update from collection,Actualizar desde la colección
Update success,Actualización exitosa
Updated,Actualizado
Updated file,Archivo actualizado
Updated multiple entities,Múltiples entidades actualizadas
Updated permissions on entity,Permisos sobre la entidad actualizados
Updated relationships,Relaciones actualizadas
Updated settings,Configuración actualizada
Updated translations,Traducciones actualizadas
Updated user,Usuario actualizado
Updating template properties across,Actualizando las propiedades de las plantillas en
Updating…,Actualizando…
Upload and select file,Sube y selecciona un archivo
Upload from computer,Subir desde la computadora
Upload image,Subir imagen
Upload PDF,Subir PDF
Upload PDF(s) to create,Subir PDFs
Uploaded attachment,Archivo adjunto cargado
Uploaded custom file,Archivo personalizado cargado
Uploaded document,Documento cargado
Uploaded file,Archivo cargado
Uploading,Subiendo archivos
Uploading ...,Subiendo...
Uploads,Subir archivos
URL,URL
Use,Usar
Use as filter,Usar como filtro
Use for training,Para uso en formación
"Use this iframe on external sites. Change the locale query parameter in the URL if
                needed.","Utiliza este iframe en sitios web externos. Modifica el parámetro de consulta ""locale"" en la URL si
es necesario."
Use URL,Utilizar la URL
Used in templates and {n} refs — cannot delete,Usado en plantillas y {n} referencias — no se puede eliminar
Used in templates — cannot delete,Usado en plantillas — no se puede eliminar
Used in {n} refs — cannot delete,Usado en {n} referencias — no se puede eliminar
User,Usuario
User Action,Acción del usuario
User Role,Rol de usuario
User updated,Usuario actualizado
Username,Nombre de usuario
Username is required,Se requiere nombre de usuario
Username is too long,El nombre de usuario es demasiado largo
Username is too short,El nombre de usuario es demasiado corto
"Username, email or group","Nombre de usuario, correo electrónico o grupo"
Usernames cannot have spaces,Los nombres de usuario no pueden contener espacios
Users,Usuarios
Users & Groups,Usuarios y grupos
Using Authenticator,Cómo utilizar Authenticator
Using URLs,Uso de direcciones URL
Uwazi,Uwazi
Uwazi Docs,Uwazi Docs
Uwazi is developed by,Uwazi es desarrollado por
Uwazi UI,Interfaz de usuario de Uwazi
Validating,Validando
Validating file structure and headers.,Validando la estructura del archivo y los encabezados.
Value,valor
Value cannot be transformed to the correct type,El valor no se puede convertir al tipo correcto
values,valores
"values are staged, not saved","los valores están pendientes, no guardados"
Verify,Verificar
Verifying...,Verificando
via,a través de
View,Ver
view,Ver
View entities,Ver entidades
View entity,Ver entidad
View in library,Ver en la colección
View page,Ver página
Visibility,Visibilidad
Visualization data updated from your collection.,Datos de visualización actualizados a partir de tu colección.
WARNING,ADVERTENCIA
Warning: you are editing multiple entities. Fields marked with a,ADVERTENCIA: Estás editando múltiples entidades. Los campos marcados con un
We can't find the page you're looking for.,No podemos hallar la página que buscas.
Welcome to Uwazi,Bienvenido a Uwazi
"Well, this is awkward...","Bueno, esto es incómodo..."
"When enabled, visitors must accept or reject non-essential cookies before they are set.
    Analytics and language preference cookies are blocked until accepted.","Cuando esta opción está activada, los visitantes deben aceptar o rechazar las cookies no esenciales antes de que se instalen.
    Las cookies de análisis y de preferencias de idioma quedan bloqueadas hasta que se acepten."
Whitelisted templates,Plantillas incluidas en la lista blanca
wildcard,comodín
wildcard (many chars),comodín (muchos caracteres)
wildcard (one char),comodín (un carácter)
"Will attempt to fill the container, using its entire width. In cards, cropping is likely to occur.","Intentará ocupar todo el ancho del contenedor. En las tarjetas, es probable que se recorten."
will be updated with the same value.,se actualizará con el mismo valor
Will show the entire media inside the container.,Mostrará todo el contenido multimedia que hay dentro del contenedor.
with,con
With great power comes great responsibility!,"¡Con un gran poder, viene una gran responsabilidad!"
wom?n,muj?r
x,x
x less,menos
x more,más
Year,Año
Yes,Sí
You can add one or many items in this form.,En este formulario puedes añadir uno o varios elementos.
You can also enter this secret key into your Authenticator app.,También puedes introducir esta clave secreta en tu aplicación de autenticación.
You can create metadata templates in,Puedes crear plantillas de metadatos en
"You can embed advanced components like maps, charts and entity lists in your page.","Puedes incorporar componentes avanzados, como mapas, gráficos y listas de entidades, en tu página."
You do not have write permission on all entities,No tienes permiso de escritura en todas las entidades
You have unsaved changes. Discard them? This action cannot be undone.,Tienes cambios sin guardar. ¿Quieres descartarlos? Esta acción no se puede deshacer.
You have unsaved changes. Do you want to continue?,Tienes cambios sin guardar. Quieres continuar??
You should activate this feature for enhanced account security,Activa esta función para mejorar la seguridad de la cuenta.
You should activate this feature for enhanced account security.,Te recomendamos que actives esta función para mejorar la seguridad de tu cuenta.
You won't be able to save an entity if this property is empty.,No podrás guardar una entidad si esta propiedad está vacía.
You're all caught up,Estás al día
Your account's security is enhanced with two-factor authentication.,La seguridad de tu cuenta se refuerza con la autenticación de dos factores.
Z → A,Z → A
Zoom in,Aumentar zoom
Zoom in library view,Aumentar zoom en la colección
Zoom out,Reducir zoom
Zoom out library view,Reducir zoom en la colección
